x,y1,y2,y3,y4,y5,y6
1978.9166667,110.66696168,222.51306393,249.79601057,100.47584311,180.28154738,221.87663574
1979,111.64083094,225.00521025,244.47535555,102.43512205,177.79366202,223.6072735
1979.0833333,116.36323809,233.53290771,249.85381337,99.884487508,180.47834632,225.32904951
1979.1666667,112.22070681,234.79398542,252.70214684,98.775769697,182.21093845,226.97395157
1979.25,118.59484296,242.30739295,250.85742117,99.279526122,182.72112907,228.81244058
1979.3333333,118.52368605,248.12277038,253.56668132,100.38152886,183.10484344,230.6429401
1979.4166667,115.90431259,248.54457909,256.91376151,98.825615165,182.61046037,232.53421221
1979.5,120.36662863,251.00517042,260.4848628,97.254287884,181.7521912,234.41773933
1979.5833333,121.35363498,254.19293609,265.32988125,96.981975878,183.04263176,236.22275592
1979.6666667,128.06449099,259.07344046,261.13766912,98.533687492,180.35190507,238.04167114
1979.75,127.01436217,258.21849811,258.7874301,99.519024367,180.92903117,240.01741701
1979.8333333,116.72619883,249.15502882,253.9739839,100.51421461,181.1099602,242.10556854
1979.9166667,122.80763379,255.45865105,245.64363723,100.53431745,177.27042905,244.50241367
1980,125.00589044,266.49446478,240.48512085,99.810470368,175.67499518,246.8251866
1980.0833333,131.893715,271.34466404,244.69361046,98.123673418,178.6790376,248.79978809
1980.1666667,130.28461168,267.05741835,246.18624149,98.19235999,183.50337162,251.01410621
1980.25,113.47789677,248.577045,243.69976045,99.61614921,181.37473251,254.05137689
1980.3333333,117.98296927,251.18710397,246.33171786,97.564056536,181.86444428,257.25242424
1980.4166667,124.18887346,256.46203315,247.26777839,97.876261517,181.28247806,259.33616888
1980.5,127.98905298,260.10379402,245.38854327,97.719659498,178.96206234,260.91811951
1980.5833333,136.29554252,270.03975895,229.65913765,101.67730571,174.70276526,262.30098554
1980.6666667,138.74886229,281.54345269,223.66503416,103.78202594,173.1828512,263.97971185
1980.75,141.78746237,283.40163947,213.42117559,105.75388443,168.38568622,265.95955969
1980.8333333,143.29040947,290.08991816,207.46672479,107.54112508,166.39873513,268.4861755
1980.9166667,157.03195974,280.48794187,190.18474662,112.39122982,156.89736735,271.06364279
1981,149.93411516,279.67452684,195.49090105,110.94138295,158.82720497,274.61457651
1981.0833333,142.37743576,288.87581878,208.6278896,107.02515213,165.73618838,277.4705681
1981.1666667,143.18898714,287.4025521,210.75589407,107.24990495,169.49839986,280.43950318
1981.25,148.28651508,296.11084943,212.10473179,104.8260571,168.61700818,283.83282117
1981.3333333,145.15766961,309.70233742,216.94071968,105.69611338,170.67413568,286.89821564
1981.4166667,145.31734305,317.29004468,216.02956866,106.01320172,168.04575399,290.19754512
1981.5,141.88785376,314.27578926,227.11188553,104.56082085,172.56618477,294.11521198
1981.5833333,139.70278081,307.83313558,225.99903729,105.87828719,168.16574706,297.76224061
1981.6666667,129.86770504,302.26135583,236.82439117,105.5500645,170.5368841,301.57359729
1981.75,120.55619059,294.88617874,249.0682122,105.67672458,174.98789677,305.31310989
1981.8333333,126.48755516,301.84549256,238.58244047,108.99497373,169.72076108,309.00739852
1981.9166667,130.73753702,297.28762562,242.99621561,109.07127022,171.35008038,312.31377769
1982,125.96561692,300.85507713,244.98878458,109.31122701,175.63383239,315.03090755
1982.0833333,121.88433093,297.45541476,252.80392681,107.68248973,179.00600198,317.55115481
1982.1666667,114.74190914,298.49650871,268.09856438,103.98898033,187.16867567,320.47262544
1982.25,112.59623544,298.37711011,278.3667394,102.5435335,191.82917569,323.61325717
1982.3333333,116.27813233,301.62942061,270.85083743,104.14321263,191.79080986,327.27008697
1982.4166667,111.63863485,303.5598489,275.61781217,105.0596729,191.19625834,330.73914989
1982.5,108.18900104,301.98133769,279.88988826,105.07017886,196.35855732,333.91424573
1982.5833333,104.7377719,304.85016039,280.14178916,106.16290872,199.3824791,337.42034531
1982.6666667,116.40555969,291.65014845,282.7471078,104.15642975,199.60179983,339.98473994
1982.75,117.90719141,299.29138234,283.51052499,106.38537735,199.52195911,341.71866211
1982.8333333,131.23070404,305.09763516,273.10568872,106.69389494,198.84358445,343.73480222
1982.9166667,137.35917792,318.58295063,268.05323348,105.65896416,199.42023084,345.90033147
1983,138.1146534,318.35994256,268.08003881,105.64839826,201.51414327,348.21786369
1983.0833333,143.08678092,328.96132865,266.17667053,104.01084809,200.40581548,350.62056695
